EVENT_ID,Parish/County,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,EPISODE_ID,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,CITY/CITIES,STREET(S),Latitude,Longitude,Bayou/Creek/Stream Name
5443650,JACKSON,COUNTYWIDE,2005-04-01,4:30,Flash Flood,0,0,"$200,000",,,1187780,0,0,NEWSPAPER,,,,,,COUNTYWIDE,2005-04-01,10:30,30.5333,-89.1000,30.5333,-89.1000,,"Heavy rainfall that began on March 31st continued through the morning hours of April 1st resulting in the flooding of numerous roadways and homes in sections of coastal and south Mississippi.  The hardest hit area was Jackson County where 8 to 12 inches of rain fell during the night and morning hours. The heavy rain also resulted in signficant flooding in lower portions of several rivers and streams in south Mississippi, particularly along major rivers in in Harrison and Jackson Counties, such as the Escatawpa, Biloxi and Tchoutacabouffa Rivers.  Overall 250 homes and numerous roadways were flooded across Jackson County, with the communities of Moss Point and Ocean Springs were especially hard hit.  In Harrison County, a number of roadways were flooded and a few homes around D'Iberville received water damage.  In Pearl River County, several roads were flooded by the heavy rainfall.",,,30.5333,-89.1000,
5443651,HARRISON,COUNTYWIDE,2005-04-01,4:30,Flash Flood,0,0,"$50,000",,,1187780,0,0,NEWSPAPER,,,,,,COUNTYWIDE,2005-04-01,10:30,30.8000,-89.5667,30.8000,-89.5667,,"Heavy rainfall that began on March 31st continued through the morning hours of April 1st resulting in the flooding of numerous roadways and homes in sections of coastal and south Mississippi.  The hardest hit area was Jackson County where 8 to 12 inches of rain fell during the night and morning hours. The heavy rain also resulted in signficant flooding in lower portions of several rivers and streams in south Mississippi, particularly along major rivers in in Harrison and Jackson Counties, such as the Escatawpa, Biloxi and Tchoutacabouffa Rivers.  Overall 250 homes and numerous roadways were flooded across Jackson County, with the communities of Moss Point and Ocean Springs were especially hard hit.  In Harrison County, a number of roadways were flooded and a few homes around D'Iberville received water damage.  In Pearl River County, several roads were flooded by the heavy rainfall.",,,30.8000,-89.5667,
5443273,JACKSON,OCEAN SPGS,2005-04-06,14:45,Flash Flood,0,0,,,,1187784,0,0,EMERGENCY MANAGER,,5,NNE,5,NNE,OCEAN SPGS,2005-04-06,15:45,30.4833,-88.7833,30.4833,-88.7833,A bridge was washed out on Old Fort Bayou Road.,,,,30.4833,-88.7833,
5451538,HANCOCK,SOUTH PORTION,2005-05-29,16:50,Flash Flood,0,0,,,,1189243,0,0,LAW ENFORCEMENT,,,,,,SOUTH PORTION,2005-05-29,20:30,30.4500,-89.5000,30.4500,-89.5000,Heavy rainfall of 3 to 5 inches within several hours caused signficant flooding of a number of roadways in southern Hancock County.,,,,30.4500,-89.5000,
5451537,ST. TAMMANY,SOUTHEAST PORTION,2005-05-29,16:20,Flash Flood,0,0,,,,1189242,0,0,LAW ENFORCEMENT,,,,,,SOUTHEAST PORTION,2005-05-29,21:00,30.4667,-89.9167,30.4667,-89.9167,Heavy rainfall of 2 to 4 inches within a few hours time caused extensive flooding of roadways in southeast St. Tammany Parish. A few homes experienced minor flooding in the Slidell area.,,,,30.4667,-89.9167,
5502770,ST. TAMMANY,MANDEVILLE,2006-04-29,22:00,Flash Flood,0,0,,,,1209293,0,0,NEWSPAPER,,,,,,MANDEVILLE,2006-04-29,23:59,30.3667,-90.0833,30.3667,-90.0833,Rainfall amounts of up to 6 inches resulted in the flooding of about 10 homes and caused considerable street flooding in portions of Mandeville.,,,,30.3667,-90.0833,
5502760,EAST BATON ROUGE,BATON ROUGE,2006-04-29,18:30,Flash Flood,0,0,,,,1209283,0,0,BROADCAST MEDIA,,,,,,BATON ROUGE,2006-04-29,20:00,30.4667,-91.1667,30.4667,-91.1667,A few inches of water was reported in a few houses and in some units of an apartment complex.,,,,30.4667,-91.1667,
5532848,EAST BATON ROUGE,BATON ROUGE,2006-08-09,16:15,Flash Flood,0,0,"$2,000",,,1220606,0,0,LAW ENFORCEMENT,,,,,,BATON ROUGE,2006-08-09,18:00,,,,,Flash flooding of low lying areas and roadways reported in the southern portion of Baton Rouge.,"Severe thunderstorms developed over southeast Louisiana, particularly in the greater Baton Rouge area.",,,,,
1536,POINTE COUPEE,NEW ROADS,2006-10-27,2:30,Flash Flood,0,0,"$75,000",$0,,287,0,0,Emergency Manager,Heavy Rain,0,N,0,N,NEW ROADS,2006-10-27,8:00,30.6800,-91.4300,30.6800,-91.4300,Heavy rainfall caused flooding of many roadways in parish. Approximately 10 to 15 houses were flooded.,Upper level disturbance combined with a surface cold front produced widespread heavy rain and strong to severe thunderstorms across southeast Louisiana and extreme south Mississippi.,,,30.6800,-91.4300,
1534,WEST FELICIANA,ST FRANCISVILLE,2006-10-27,2:30,Flash Flood,0,0,"$10,000",$0,,287,0,0,Law Enforcement,Heavy Rain,0,N,0,N,ST FRANCISVILLE,2006-10-27,7:30,30.7700,-91.3800,30.7700,-91.3800,"Several roadways were flooded in the parish, including Highway 66 and Flowers Hill Rd. Some roadway washouts were reported. Some cars were flooded and a few houses were flooded.",Upper level disturbance combined with a surface cold front produced widespread heavy rain and strong to severe thunderstorms across southeast Louisiana and extreme south Mississippi.,,,30.7700,-91.3800,
